,reviewCount,avgStars,useful,funny,cool,eliteYears,friendCount,fans,complimentHot,complimentCool,complimentFunny,complimentMore,complimentWriter,complimentPlain,complimentPhotos,complimentNote
reviewCount,1.0,0.04538005141786814,0.5733693561288475,0.47643963311744286,0.4941116450157959,0.6866321793821115,0.3850801769772323,0.5341902489142777,0.2624471391960189,0.30184019247679833,0.30184019247679833,0.18926539369332132,0.33326337468401224,0.2674554771864958,0.1505002911837992,0.20968725663869772
avgStars,0.04538005141786814,1.0,0.010972932136630828,0.007060255130153185,0.010436904079645867,0.04984689633917173,0.06499048305641623,0.019412760038178538,0.005928384638263817,0.007308953322041243,0.007308953322041243,0.0044854269745735606,0.007369667494680578,0.006591949568617317,0.0038900790180764182,0.00490169688154054
useful,0.5733693561288475,0.010972932136630828,1.0,0.9543067027429544,0.9918405554730918,0.31610321591704366,0.3888490584366927,0.6432380741501545,0.6143034569315775,0.7358862713185769,0.7358862713185769,0.4262929659150562,0.7000461307678495,0.6631989095759462,0.5469471053746394,0.43361445925089204
funny,0.47643963311744286,0.007060255130153185,0.9543067027429544,1.0,0.9648722862808872,0.23909010661412375,0.3360048879234674,0.590612852875782,0.6613261132473431,0.7725288032669388,0.7725288032669388,0.47657399516546944,0.7572498917426495,0.6739732828699174,0.581670846748662,0.44184571486922486
cool,0.4941116450157959,0.010436904079645867,0.9918405554730918,0.9648722862808872,1.0,0.2528355361080353,0.3555332139573679,0.6008281835565579,0.6308040285605888,0.7549283118079271,0.7549283118079271,0.4368306651636941,0.7073680099928448,0.6717355171775994,0.5749123254454794,0.4363359434598273
eliteYears,0.6866321793821115,0.04984689633917173,0.31610321591704366,0.23909010661412375,0.2528355361080353,1.0,0.32771681865991553,0.3858903182380148,0.1671651281275946,0.19408569993980493,0.19408569993980493,0.11590060341552393,0.2122823167145061,0.16752824870405827,0.08407506827097505,0.1364908780592014
friendCount,0.3850801769772323,0.06499048305641623,0.3888490584366927,0.3360048879234674,0.3555332139573679,0.32771681865991553,1.0,0.49056910718663754,0.23100943906273844,0.2720803555525224,0.2720803555525224,0.14245111578556033,0.25811344285343024,0.28263552966534905,0.14237259868281588,0.1774818388407512
fans,0.5341902489142777,0.019412760038178538,0.6432380741501545,0.590612852875782,0.6008281835565579,0.3858903182380148,0.49056910718663754,1.0,0.42569095994287426,0.4849136586984761,0.4849136586984761,0.25712871544895494,0.459412505154259,0.526995231559642,0.2960387599402764,0.321864275238355
complimentHot,0.2624471391960189,0.005928384638263817,0.6143034569315775,0.6613261132473431,0.6308040285605888,0.1671651281275946,0.23100943906273844,0.42569095994287426,1.0,0.8827017617994375,0.8827017617994375,0.6274107138322068,0.8024826723637641,0.6829819168318378,0.7213626702642245,0.7211706415994328
complimentCool,0.30184019247679833,0.007308953322041243,0.7358862713185769,0.7725288032669388,0.7549283118079271,0.19408569993980493,0.2720803555525224,0.4849136586984761,0.8827017617994375,1.0,1.0,0.6666850614768232,0.8749996675871216,0.8671033253634959,0.8039066619075961,0.5852472144549717
complimentFunny,0.30184019247679833,0.007308953322041243,0.7358862713185769,0.7725288032669388,0.7549283118079271,0.19408569993980493,0.2720803555525224,0.4849136586984761,0.8827017617994375,1.0,1.0,0.6666850614768232,0.8749996675871216,0.8671033253634959,0.8039066619075961,0.5852472144549717
complimentMore,0.18926539369332132,0.0044854269745735606,0.4262929659150562,0.47657399516546944,0.4368306651636941,0.11590060341552393,0.14245111578556033,0.25712871544895494,0.6274107138322068,0.6666850614768232,0.6666850614768232,1.0,0.8034276926515468,0.5630167815037144,0.8252970105626742,0.44872262366167687
complimentWriter,0.33326337468401224,0.007369667494680578,0.7000461307678495,0.7572498917426495,0.7073680099928448,0.2122823167145061,0.25811344285343024,0.459412505154259,0.8024826723637641,0.8749996675871216,0.8749996675871216,0.8034276926515468,1.0,0.7727764298916012,0.7772611166362655,0.538024697592751
complimentPlain,0.2674554771864958,0.006591949568617317,0.6631989095759462,0.6739732828699174,0.6717355171775994,0.16752824870405827,0.28263552966534905,0.526995231559642,0.6829819168318378,0.8671033253634959,0.8671033253634959,0.5630167815037144,0.7727764298916012,1.0,0.7052110546057185,0.49096802057965755
complimentPhotos,0.1505002911837992,0.0038900790180764182,0.5469471053746394,0.581670846748662,0.5749123254454794,0.08407506827097505,0.14237259868281588,0.2960387599402764,0.7213626702642245,0.8039066619075961,0.8039066619075961,0.8252970105626742,0.7772611166362655,0.7052110546057185,1.0,0.5160392275110239
complimentNote,0.20968725663869772,0.00490169688154054,0.43361445925089204,0.44184571486922486,0.4363359434598273,0.1364908780592014,0.1774818388407512,0.321864275238355,0.7211706415994328,0.5852472144549717,0.5852472144549717,0.44872262366167687,0.538024697592751,0.49096802057965755,0.5160392275110239,1.0
