yelpingYear,count,growth
2005,937,941.1111111111111
2006,5423,478.76200640341517
2007,15340,182.86926055688735
2008,31097,102.71838331160366
2009,64911,108.73717721966752
2010,109054,68.00542280969329
2011,176435,61.78682120784198
2012,195955,11.063564485504585
2013,209762,7.046005460437343
2014,233465,11.299949466538273
2015,247850,6.1615231405135695
2016,217620,-12.196893282227151
2017,151024,-30.601966730998985
2018,133568,-11.558427799555037
2019,104655,-21.6466518926689
2020,47444,-54.66628445845875
2021,40485,-14.667818902284802
2022,2782,-93.12831913054218
